review_id,course_code,course_name,department,language,review_text,sentiment,confidence,aspects,keywords,intended_sentiment,intended_aspect
R0001,CS201,Data Structures,Computer Science,zh,老师讲课清晰易懂，例题多，作业布置适中，助教很负责，每次讨论都很有帮助。,positive,0.95,"[""teaching_style"", ""course_content"", ""workload"", ""instructor"", ""logistics""]","[""老师"", ""讲课"", ""易懂"", ""作业"", ""布置"", ""助教"", ""负责"", ""讨论"", ""帮助""]",positive,teaching_style
R0002,MATH240,Linear Algebra,Mathematics,zh,线性代数教材太陈旧了，作业和考试难度都太大，助教也总是很忙，很少解答问题。,negative,0.8,"[""course_content"", ""workload"", ""instructor""]","[""教材"", ""陈旧"", ""作业"", ""考试"", ""难度"", ""助教"", ""忙""]",negative,materials
R0003,PHY101,General Physics I,Physics,en,"The textbook is a mess, with confusing diagrams and typos everywhere. It makes homework feel like a struggle.",negative,0.8,"[""course_content"", ""materials""]","[""textbook"", ""confusing"", ""diagrams"", ""typos"", ""homework""]",negative,materials
R0004,PHY101,General Physics I,Physics,en,"The exams were brutal and the grading seemed way too harsh, even for the homework that was supposed to be practice.",negative,0.8,"[""exams_grading""]","[""exams"", ""brutal"", ""grading"", ""harsh""]",negative,exams_grading
R0005,CS310,Operating Systems,Computer Science,zh,操作系统这门课内容太杂，作业多，考试难，助教水平参差不齐，学起来挺吃力的。,negative,0.8,"[""teaching_style"", ""course_content"", ""workload"", ""instructor"", ""other""]","[""内容太杂"", ""作业多"", ""考试难"", ""助教水平"", ""吃力""]",negative,course_content
R0006,PHY101,General Physics I,Physics,zh,老师讲解很清晰，善于用生活实例解释物理原理，感觉上课很有趣。,positive,0.9,"[""teaching_style"", ""course_content"", ""instructor""]","[""老师"", ""讲解"", ""清晰"", ""生活实例"", ""物理原理"", ""有趣""]",positive,teaching_style
R0007,CS201,Data Structures,Computer Science,en,"The provided lecture notes and slides were incredibly helpful. They made understanding complex concepts in Data Structures much easier. The readings were challenging but insightful, thanks to the clear explanations and examples.",positive,0.95,"[""materials"", ""course_content"", ""teaching_style""]","[""lecture notes"", ""slides"", ""helpful"", ""Data Structures"", ""understanding"", ""complex concepts"", ""readings"", ""challenging"", ""insightful"", ""clear explanations"", ""examples""]",positive,materials
R0008,CS201,Data Structures,Computer Science,en,"The exams were a total pain, grading was inconsistent, and the TAs were never available for help.",negative,0.9,"[""exams_grading"", ""instructor"", ""logistics""]","[""exams"", ""pain"", ""grading"", ""inconsistent"", ""TAs"", ""available"", ""help""]",negative,exams_grading
R0009,CS330,Database Systems,Computer Science,zh,数据库系统课的作业量太大，考试也特别难，助教也不太负责，感觉压力山大，根本没时间做其他事情。,negative,0.9,"[""workload"", ""exams_grading"", ""instructor""]","[""作业量"", ""考试"", ""助教"", ""压力"", ""时间""]",negative,workload
R0010,BUS220,Introduction to Marketing,Business,en,"The exams were a nightmare. TAs were inconsistent and the grading was harsh, made it feel like we were failing just for trying.",negative,0.9,"[""exams_grading"", ""instructor"", ""teaching_style""]","[""exams"", ""nightmare"", ""TAs"", ""inconsistent"", ""grading"", ""harsh""]",negative,exams_grading
R0011,ENG150,Academic Writing,English,zh,这门课的作业量挺大的，不过老师布置的作业很有针对性，让我学到了很多。助教也很耐心，解答问题很详细。,positive,0.9,"[""workload"", ""teaching_style"", ""instructor""]","[""作业量"", ""针对性"", ""老师"", ""助教"", ""耐心"", ""解答""]",positive,workload
R0012,ENG150,Academic Writing,English,en,"The exam grading was inconsistent and harsh, felt like it was more about the TA's mood than the quality of my work.",negative,0.8,"[""exams_grading"", ""instructor""]","[""exam"", ""grading"", ""inconsistent"", ""harsh"", ""TA""]",negative,exams_grading
R0013,CS310,Operating Systems,Computer Science,en,The constant stream of homework and the TA's lack of availability made the course a real logistical nightmare. I barely had time to understand the material between assignments.,negative,0.9,"[""logistics"", ""workload"", ""teaching_style""]","[""homework"", ""TA"", ""availability"", ""logistical"", ""nightmare"", ""understand"", ""material"", ""assignments""]",negative,logistics
R0014,ENG150,Academic Writing,English,zh,这门课时间安排挺合理，作业量适中，助教也很有耐心，解答问题很到位。,positive,0.9,"[""teaching_style"", ""workload"", ""instructor""]","[""时间安排"", ""作业量"", ""耐心"", ""解答""]",positive,logistics
R0015,PHY101,General Physics I,Physics,en,"The logistics were a nightmare – endless homework, exams were too hard, and the TA's were rarely available.",negative,0.9,"[""logistics"", ""exams_grading"", ""instructor""]","[""logistics"", ""nightmare"", ""homework"", ""exams"", ""hard"", ""TA's"", ""available""]",negative,logistics
